Global Evidence:    0.584305086520593431E+04  +/-    0.108509860934350194E+00

Dim No.       Mean        Sigma
   1    0.547355260527610452E-01    0.270626478054366692E-02
   2    0.248815654163311865E+04    0.960376071674260174E+03
   3    0.424447294230194005E+00    0.241414365414447607E+00
   4    0.519292000000001295E+02    0.363148360531993325E-05
   5    0.549849000000002270E+05                         NaN
   6    0.465053855625835399E+00    0.243754913009464391E+00
   7    0.436224381947353190E+00    0.259889873218014156E+00
   8    0.549849407526425930E+05                         NaN
   9    0.550368551793713923E+05    0.502716315477880898E-02
  10    0.550888569189974369E+05    0.217336172908338843E+00
  11    0.551407163582151552E+05    0.248975562187147680E-02
  12    0.551926434236075220E+05    0.352104616744530188E-02
  13    0.552445803555128587E+05                         NaN
  14    0.552965073233479634E+05                         NaN
  15    0.553484421010092919E+05    0.323889139683144513E-02
  16    0.554003626371009304E+05    0.442157477448116079E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.528197714488118156E-01
   2    0.336595105273909030E+04
   3    0.236806828607852737E+00
   4    0.519292000000000016E+02
   5    0.549849000000000015E+05
   6    0.545228170848479299E+00
   7    0.314293153230344680E+00
   8    0.549849421597032779E+05
   9    0.550368569081072128E+05
  10    0.550888801946537133E+05
  11    0.551407152122375555E+05
  12    0.551926432235585453E+05
  13    0.552445808659923277E+05
  14    0.552965072005010370E+05
  15    0.553484401859108038E+05
  16    0.554003617790507051E+05

MAP Parameters
Dim No.        Parameter
   1    0.528197714488118156E-01
   2    0.336595105273909030E+04
   3    0.236806828607852737E+00
   4    0.519292000000000016E+02
   5    0.549849000000000015E+05
   6    0.545228170848479299E+00
   7    0.314293153230344680E+00
   8    0.549849421597032779E+05
   9    0.550368569081072128E+05
  10    0.550888801946537133E+05
  11    0.551407152122375555E+05
  12    0.551926432235585453E+05
  13    0.552445808659923277E+05
  14    0.552965072005010370E+05
  15    0.553484401859108038E+05
  16    0.554003617790507051E+05
