Global Evidence:    0.658244237302910551E+04  +/-    0.114086058155775896E+00

Dim No.       Mean        Sigma
   1    0.539900424625539069E-01    0.187933222442353536E-02
   2    0.282254645709748138E+04    0.829775708179054845E+03
   3    0.363105157031961390E+00    0.219143803227919765E+00
   4    0.519292000000003995E+02                         NaN
   5    0.549849000000002416E+05                         NaN
   6    0.421542756822839315E+00    0.239005489218312384E+00
   7    0.396013498997170310E+00    0.257843476891886025E+00
   8    0.554522974629792589E+05    0.697405119974887737E-02
   9    0.555042267828448312E+05    0.534885310063638788E-02
  10    0.556080918594448303E+05                         NaN
  11    0.556600100907218948E+05                         NaN
  12    0.557119427195386306E+05    0.640374855888867223E-02
  13    0.557638683252689007E+05    0.378221029903068068E-02
  14    0.558157967842510261E+05    0.358811974040504616E-02
  15    0.558677327264191263E+05    0.577742166318321888E-02
  16    0.559196517692515990E+05                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.530660060398729858E-01
   2    0.345751859829972136E+04
   3    0.208174548820443700E+00
   4    0.519292000000000016E+02
   5    0.549849000000000015E+05
   6    0.272161220527362413E+00
   7    0.575665554697512794E+00
   8    0.554522979984777267E+05
   9    0.555042271981328231E+05
  10    0.556080926298252962E+05
  11    0.556600099942821107E+05
  12    0.557119425933468738E+05
  13    0.557638677158099454E+05
  14    0.558157965011965716E+05
  15    0.558677334924152310E+05
  16    0.559196511100725766E+05

MAP Parameters
Dim No.        Parameter
   1    0.530660060398729858E-01
   2    0.345751859829972136E+04
   3    0.208174548820443700E+00
   4    0.519292000000000016E+02
   5    0.549849000000000015E+05
   6    0.272161220527362413E+00
   7    0.575665554697512794E+00
   8    0.554522979984777267E+05
   9    0.555042271981328231E+05
  10    0.556080926298252962E+05
  11    0.556600099942821107E+05
  12    0.557119425933468738E+05
  13    0.557638677158099454E+05
  14    0.558157965011965716E+05
  15    0.558677334924152310E+05
  16    0.559196511100725766E+05
