Global Evidence:    0.515083759306878255E+04  +/-    0.102707805693085519E+00

Dim No.       Mean        Sigma
   1    0.560049979464142950E-01    0.307882127500143116E-02
   2    0.190264459389734611E+04    0.997648075997969045E+03
   3    0.520526773391779551E+00    0.262980013573645643E+00
   4    0.519292000000004634E+02                         NaN
   5    0.549849000000001615E+05                         NaN
   6    0.453535649999542767E+00    0.263515132524385687E+00
   7    0.352066885670627217E+00    0.259622029249521935E+00
   8    0.560235182464231257E+05                         NaN
   9    0.560754497052012739E+05                         NaN
  10    0.561792980807994536E+05                         NaN
  11    0.562312334911675571E+05                         NaN
  12    0.562831643438638930E+05    0.292968750000000000E-02
  13    0.563351000750798194E+05                         NaN
  14    0.563870195586161426E+05                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.587087594065992605E-01
   2    0.961970815858373044E+03
   3    0.761701282794964518E+00
   4    0.519292000000000016E+02
   5    0.549849000000000015E+05
   6    0.303864056452387121E+00
   7    0.359506898031240307E+00
   8    0.560235173073301412E+05
   9    0.560754505342826524E+05
  10    0.561792964814975567E+05
  11    0.562312345185400409E+05
  12    0.562831634071064691E+05
  13    0.563351013124359015E+05
  14    0.563870179492634343E+05

MAP Parameters
Dim No.        Parameter
   1    0.587087594065992605E-01
   2    0.961970815858373044E+03
   3    0.761701282794964518E+00
   4    0.519292000000000016E+02
   5    0.549849000000000015E+05
   6    0.303864056452387121E+00
   7    0.359506898031240307E+00
   8    0.560235173073301412E+05
   9    0.560754505342826524E+05
  10    0.561792964814975567E+05
  11    0.562312345185400409E+05
  12    0.562831634071064691E+05
  13    0.563351013124359015E+05
  14    0.563870179492634343E+05
