Global Evidence:    0.845091293526637855E+04  +/-    0.996361686058285650E-01

Dim No.       Mean        Sigma
   1    0.453757247707277794E-01    0.125192820601084101E-02
   2    0.157371891457361471E+04    0.398779692715406554E+03
   3    0.332782240748181746E+00    0.206293818850629002E+00
   4    0.205912999999999045E+03    0.215791864375777458E-04
   5    0.550856999999995169E+05    0.717623948081009232E-02
   6    0.417021961893721815E+00    0.227691979070997835E+00
   7    0.317663477607248390E+00    0.243585423777880006E+00
   8    0.550857377916633195E+05    0.762719694912759177E-02
   9    0.552916714902728490E+05    0.787329858232280189E-02
  10    0.554975622006991980E+05    0.941762769628218255E-02
  11    0.557034712951049514E+05    0.753283624049878517E-02
  12    0.559093803510759972E+05    0.870730200201513989E-02
  13    0.561153145134637452E+05    0.420035413429815756E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.446184851055510812E-01
   2    0.195326814856436886E+04
   3    0.141472071094981722E+00
   4    0.205913000000000011E+03
   5    0.550856999999999971E+05
   6    0.417775013513375315E+00
   7    0.235515888872509405E+00
   8    0.550857382148031102E+05
   9    0.552916723927611456E+05
  10    0.554975635922722868E+05
  11    0.557034737833785839E+05
  12    0.559093831024434257E+05
  13    0.561153170270768096E+05

MAP Parameters
Dim No.        Parameter
   1    0.446184851055510812E-01
   2    0.195326814856436886E+04
   3    0.141472071094981722E+00
   4    0.205913000000000011E+03
   5    0.550856999999999971E+05
   6    0.417775013513375315E+00
   7    0.235515888872509405E+00
   8    0.550857382148031102E+05
   9    0.552916723927611456E+05
  10    0.554975635922722868E+05
  11    0.557034737833785839E+05
  12    0.559093831024434257E+05
  13    0.561153170270768096E+05
