Global Evidence:    0.195159703095876757E+05  +/-    0.124782701611120345E+00

Dim No.       Mean        Sigma
   1    0.311706127998780391E-01    0.130210561593409411E-02
   2    0.250511433529872477E+03    0.146051923908551572E+03
   3    0.706792164874144535E+00    0.166225786855777991E+00
   4    0.120017999999999731E+03                         NaN
   5    0.549671999999994223E+05    0.229024207022628405E-02
   6    0.303159801049325717E+00    0.954397691404724330E-01
   7    0.549196989208738162E+00    0.277709330774821406E+00
   8    0.549671788667798974E+05    0.851347449910287886E-02
   9    0.550872101646534065E+05    0.101487352005988907E-01
  10    0.552072267040356237E+05    0.483373776201741472E-02
  11    0.553272412636738809E+05    0.113045282253810796E-01
  12    0.554472623153013847E+05    0.560992445950979357E-02
  13    0.556873015118514231E+05    0.665926840673137458E-02
  14    0.559276004201791002E+05    0.437390995070039590E+00
  15    0.560473508521343247E+05    0.910876860653204654E-02
  16    0.561673656994374105E+05    0.292968750000000000E-02
  17    0.562873787094024738E+05    0.793363125452730550E-02
  18    0.564074147538680845E+05    0.117593697058518513E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.320043272335643197E-01
   2    0.202284559147474340E+03
   3    0.766077651804813797E+00
   4    0.120018000000000001E+03
   5    0.549671999999999971E+05
   6    0.221599885175692790E+00
   7    0.971438638474050098E+00
   8    0.549671812101207324E+05
   9    0.550872080279542570E+05
  10    0.552072269328133625E+05
  11    0.553272412483118533E+05
  12    0.554472640883535787E+05
  13    0.556873012414988407E+05
  14    0.559271965221602877E+05
  15    0.560473505363810764E+05
  16    0.561673668921258432E+05
  17    0.562873786359166916E+05
  18    0.564074145803088104E+05

MAP Parameters
Dim No.        Parameter
   1    0.320043272335643197E-01
   2    0.202284559147474340E+03
   3    0.766077651804813797E+00
   4    0.120018000000000001E+03
   5    0.549671999999999971E+05
   6    0.221599885175692790E+00
   7    0.971438638474050098E+00
   8    0.549671812101207324E+05
   9    0.550872080279542570E+05
  10    0.552072269328133625E+05
  11    0.553272412483118533E+05
  12    0.554472640883535787E+05
  13    0.556873012414988407E+05
  14    0.559271965221602877E+05
  15    0.560473505363810764E+05
  16    0.561673668921258432E+05
  17    0.562873786359166916E+05
  18    0.564074145803088104E+05
