Global Evidence:    0.230864483876178419E+05  +/-    0.106032491418113453E+00

Dim No.       Mean        Sigma
   1    0.227955111469890608E-01    0.459780833893581251E-01
   2    0.198142379404547626E+03    0.131245065763218292E+03
   3    0.563942411566121793E+00    0.295252502088415358E+00
   4    0.106247999999998044E+03    0.151990675454227713E-04
   5    0.549686999999997061E+05                         NaN
   6    0.442796386950300769E+00    0.260280658751416649E+00
   7    0.408547545522100153E+00    0.271311604206107226E+00
   8    0.549686658801475714E+05    0.320708239720176314E-01
   9    0.550749907069657784E+05    0.189110514951534026E-01
  10    0.551812976806156003E+05    0.290352905221064571E-01
  11    0.552875170266180721E+05    0.447730210404205103E-01
  12    0.553937134721269467E+05    0.215065581499465225E-01
  13    0.554999863816086945E+05    0.247149428414917272E-01
  14    0.557124640678774012E+05    0.208078864772094883E-01
  15    0.558187151385962279E+05    0.277161444264030776E-01
  16    0.559249814071823130E+05    0.208422323929814898E-01
  17    0.560312122719997642E+05    0.229128285286134097E-01
  18    0.561375579100996547E+05    0.334677529066285048E-01
  19    0.562436962188244725E+05    0.244433418179371628E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.194596106294162297E-01
   2    0.103529677948442426E+03
   3    0.771758895030572933E+00
   4    0.106248000000000005E+03
   5    0.549686999999999971E+05
   6    0.216585507105902048E+00
   7    0.124444131983035652E+00
   8    0.549686448846041458E+05
   9    0.550749945212961684E+05
  10    0.551812883535443616E+05
  11    0.552875317544763966E+05
  12    0.553937398246655212E+05
  13    0.554999936338887346E+05
  14    0.557124574246139819E+05
  15    0.558187124368268705E+05
  16    0.559249735513619889E+05
  17    0.560312023776304122E+05
  18    0.561375437601998929E+05
  19    0.562437180271944526E+05

MAP Parameters
Dim No.        Parameter
   1    0.194596106294162297E-01
   2    0.103529677948442426E+03
   3    0.771758895030572933E+00
   4    0.106248000000000005E+03
   5    0.549686999999999971E+05
   6    0.216585507105902048E+00
   7    0.124444131983035652E+00
   8    0.549686448846041458E+05
   9    0.550749945212961684E+05
  10    0.551812883535443616E+05
  11    0.552875317544763966E+05
  12    0.553937398246655212E+05
  13    0.554999936338887346E+05
  14    0.557124574246139819E+05
  15    0.558187124368268705E+05
  16    0.559249735513619889E+05
  17    0.560312023776304122E+05
  18    0.561375437601998929E+05
  19    0.562437180271944526E+05
