Global Evidence:    0.954934130529598224E+04  +/-    0.102341413499020109E+00

Dim No.       Mean        Sigma
   1    0.465409014501366514E+00    0.291238750781710687E+00
   2    0.182624661256312436E+03    0.559466221607661623E+03
   3    0.139433394801729094E+01    0.375965377795741129E+00
   4    0.131187999999998141E+03    0.196373560733547226E-04
   5    0.550053999999995431E+05    0.390625000000000000E-02
   6    0.478379970863432535E+00    0.283726446375264452E+00
   7    0.517536161836264497E+00    0.289389027681076938E+00
   8    0.550053959378352447E+05    0.137240911353078091E-01
   9    0.551366129356440142E+05    0.176187681178405428E-01
  10    0.552677342306300052E+05    0.136893025086681514E-01
  11    0.553989636602114188E+05    0.155638451665129178E-01
  12    0.555301628871107532E+05    0.158822812180572197E-01
  13    0.556613147742541114E+05    0.132647243234434806E-01
  14    0.557925120635966086E+05    0.157617308511415755E-01
  15    0.559237368124415516E+05    0.168722192804404252E-01
  16    0.560549051416348957E+05    0.147133976301946912E-01
  17    0.561860741597947199E+05    0.171525078811038054E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.268468252030958504E-01
   2    0.333480410998653224E+04
   3    0.155637971592729935E+00
   4    0.131187999999999988E+03
   5    0.550054000000000015E+05
   6    0.306801851140300674E+00
   7    0.977327141821116352E+00
   8    0.550053916024442733E+05
   9    0.551366155978106253E+05
  10    0.552677329705988159E+05
  11    0.553989577661797666E+05
  12    0.555301482060199560E+05
  13    0.556613093294792561E+05
  14    0.557925239962173073E+05
  15    0.559237499846603314E+05
  16    0.560548968450580287E+05
  17    0.561860918198004874E+05

MAP Parameters
Dim No.        Parameter
   1    0.268468252030958504E-01
   2    0.333480410998653224E+04
   3    0.155637971592729935E+00
   4    0.131187999999999988E+03
   5    0.550054000000000015E+05
   6    0.306801851140300674E+00
   7    0.977327141821116352E+00
   8    0.550053916024442733E+05
   9    0.551366155978106253E+05
  10    0.552677329705988159E+05
  11    0.553989577661797666E+05
  12    0.555301482060199560E+05
  13    0.556613093294792561E+05
  14    0.557925239962173073E+05
  15    0.559237499846603314E+05
  16    0.560548968450580287E+05
  17    0.561860918198004874E+05
