Global Evidence:    0.335105030860452644E+04  +/-    0.851736644468699539E-01

Dim No.       Mean        Sigma
   1    0.390416356619224691E+00    0.312767221622671066E+00
   2    0.641645968539252135E+04    0.129068316993412463E+05
   3    0.122187056996316357E+01    0.498538208249327819E+00
   4    0.826594999999998237E+02    0.592836028144896736E-05
   5    0.549857000000000771E+05    0.114155056283134497E-02
   6    0.538249173235559430E+00    0.283009496790228632E+00
   7    0.515901363148169256E+00    0.288649138447559184E+00
   8    0.550683096999345289E+05    0.147154340678396518E-01
   9    0.551509978729050054E+05    0.114531865232530908E-01
  10    0.552334014546368999E+05    0.538496797325838883E+00
  11    0.553163837315493220E+05    0.354187345515077134E+00
  12    0.553989735786405290E+05    0.588356739194275877E-01
  13    0.554816535652252496E+05    0.984177382256128455E-02
  14    0.556469611871627858E+05    0.191993904706690491E-01
  15    0.557296062760502391E+05    0.121701151909514461E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.382994765220747088E-01
   2    0.523540224532717621E+05
   3    0.104033338794599042E+00
   4    0.826594999999999942E+02
   5    0.549856999999999971E+05
   6    0.545022845490812854E-01
   7    0.257124769986438739E+00
   8    0.550683062919580407E+05
   9    0.551509984182114713E+05
  10    0.552335099949770301E+05
  11    0.553163295539253886E+05
  12    0.553989624359855443E+05
  13    0.554816463619413189E+05
  14    0.556469647815932840E+05
  15    0.557295924757970133E+05

MAP Parameters
Dim No.        Parameter
   1    0.382994765220747088E-01
   2    0.523540224532717621E+05
   3    0.104033338794599042E+00
   4    0.826594999999999942E+02
   5    0.549856999999999971E+05
   6    0.545022845490812854E-01
   7    0.257124769986438739E+00
   8    0.550683062919580407E+05
   9    0.551509984182114713E+05
  10    0.552335099949770301E+05
  11    0.553163295539253886E+05
  12    0.553989624359855443E+05
  13    0.554816463619413189E+05
  14    0.556469647815932840E+05
  15    0.557295924757970133E+05
