Global Evidence:    0.352638885696982788E+04  +/-    0.860751963127057151E-01

Dim No.       Mean        Sigma
   1    0.266286110957336453E+00    0.304844045138241648E+00
   2    0.639210013515797982E+04    0.789380220740190543E+04
   3    0.963810643350564100E+00    0.559196556286040369E+00
   4    0.826594999999996958E+02    0.314724394545523000E-05
   5    0.549857000000001135E+05                         NaN
   6    0.502785630586118804E+00    0.286812650090487065E+00
   7    0.498528450077848795E+00    0.287878461694866361E+00
   8    0.558122381813456086E+05    0.781411249637824559E-02
   9    0.558949039828631576E+05    0.277799312475430354E-01
  10    0.559776342541433405E+05    0.112842105305390704E-01
  11    0.560602465572094443E+05    0.119788224754819542E-01
  12    0.561428814306320710E+05    0.114363537676907788E-01
  13    0.562256019682069018E+05    0.201995519115770877E+00
  14    0.563082184253611267E+05    0.101236423956494806E-01
  15    0.563913909020759893E+05    0.376092390434996870E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.353454085491468548E-01
   2    0.211121056198538899E+05
   3    0.963387501682639869E-01
   4    0.826594999999999942E+02
   5    0.549856999999999971E+05
   6    0.407801664854189394E+00
   7    0.147662232314941605E+00
   8    0.558122382747308729E+05
   9    0.558949067665067996E+05
  10    0.559776387435268189E+05
  11    0.560602448331758933E+05
  12    0.561428777580564274E+05
  13    0.562255693696398303E+05
  14    0.563082187523094763E+05
  15    0.563916802481184568E+05

MAP Parameters
Dim No.        Parameter
   1    0.353454085491468548E-01
   2    0.211121056198538899E+05
   3    0.963387501682639869E-01
   4    0.826594999999999942E+02
   5    0.549856999999999971E+05
   6    0.407801664854189394E+00
   7    0.147662232314941605E+00
   8    0.558122382747308729E+05
   9    0.558949067665067996E+05
  10    0.559776387435268189E+05
  11    0.560602448331758933E+05
  12    0.561428777580564274E+05
  13    0.562255693696398303E+05
  14    0.563082187523094763E+05
  15    0.563916802481184568E+05
