Global Evidence:    0.888158182199005387E+04  +/-    0.795487983849338387E-01

Dim No.       Mean        Sigma
   1    0.113064820988576772E+00    0.230373198688163944E+00
   2    0.129451367962021936E+04    0.106051721221226330E+04
   3    0.692271597746145773E+00    0.486084438179050560E+00
   4    0.190800999999999590E+03                         NaN
   5    0.550689999999993743E+05    0.525895000696728881E-02
   6    0.467187970439594813E+00    0.283168129379178346E+00
   7    0.475523311413158345E+00    0.285398587776392709E+00
   8    0.550690572394628325E+05    0.197014072283515779E-01
   9    0.552596429260016521E+05    0.284731195406641935E+00
  10    0.554506437237322534E+05    0.258558638571752472E-01
  11    0.558322310773153367E+05    0.239805256988450677E-01
  12    0.560230373593987315E+05    0.471791887858639195E-01
  13    0.562138578962667161E+05    0.318245522203131348E-01
  14    0.564046314362597986E+05    0.358612578651924599E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.159425269673244066E-01
   2    0.177021381842212463E+04
   3    0.577832800635752042E+00
   4    0.190800999999999988E+03
   5    0.550690000000000000E+05
   6    0.738027723135232031E-02
   7    0.616746370995417403E+00
   8    0.550690476324034098E+05
   9    0.552597930538882501E+05
  10    0.554506396390395093E+05
  11    0.558322249006965212E+05
  12    0.560230423367565381E+05
  13    0.562138335461804163E+05
  14    0.564046636403677039E+05

MAP Parameters
Dim No.        Parameter
   1    0.159425269673244066E-01
   2    0.177021381842212463E+04
   3    0.577832800635752042E+00
   4    0.190800999999999988E+03
   5    0.550690000000000000E+05
   6    0.738027723135232031E-02
   7    0.616746370995417403E+00
   8    0.550690476324034098E+05
   9    0.552597930538882501E+05
  10    0.554506396390395093E+05
  11    0.558322249006965212E+05
  12    0.560230423367565381E+05
  13    0.562138335461804163E+05
  14    0.564046636403677039E+05
