Global Evidence:    0.138737012728217196E+05  +/-    0.139111075335396822E+00

Dim No.       Mean        Sigma
   1    0.788872350904557817E-01    0.313120249833733085E-03
   2    0.129092522526747939E+04    0.403599611018464230E+02
   3    0.118040713785919335E+00    0.771531732204172455E-01
   4    0.160884999999999650E+03    0.830429947936760697E-05
   5    0.551105000000004875E+05                         NaN
   6    0.445791711971505966E+00    0.399658778869346892E-01
   7    0.329024978799698498E+00    0.299474205236533973E-01
   8    0.551105056294361202E+05    0.770267712476802383E-02
   9    0.552713877588649048E+05                         NaN
  10    0.555931546070081749E+05    0.170004971855727436E-02
  11    0.557540457585722324E+05                         NaN
  12    0.559149294222785975E+05                         NaN
  13    0.560758089882049462E+05                         NaN
  14    0.562367018557889533E+05    0.665405312183606559E-02
  15    0.563975776127740828E+05    0.388498142606596986E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.787648300276219682E-01
   2    0.133066144906910858E+04
   3    0.402514616923688520E-01
   4    0.160884999999999991E+03
   5    0.551105000000000000E+05
   6    0.419582966645445143E+00
   7    0.348650437377757139E+00
   8    0.551105058238122438E+05
   9    0.552713876055201399E+05
  10    0.555931546486081206E+05
  11    0.557540457108473638E+05
  12    0.559149295123394550E+05
  13    0.560758089413258203E+05
  14    0.562367018533497831E+05
  15    0.563975777935468504E+05

MAP Parameters
Dim No.        Parameter
   1    0.787648300276219682E-01
   2    0.133066144906910858E+04
   3    0.402514616923688520E-01
   4    0.160884999999999991E+03
   5    0.551105000000000000E+05
   6    0.419582966645445143E+00
   7    0.348650437377757139E+00
   8    0.551105058238122438E+05
   9    0.552713876055201399E+05
  10    0.555931546486081206E+05
  11    0.557540457108473638E+05
  12    0.559149295123394550E+05
  13    0.560758089413258203E+05
  14    0.562367018533497831E+05
  15    0.563975777935468504E+05
