Global Evidence:    0.154468535261528832E+05  +/-    0.144226766585553057E+00

Dim No.       Mean        Sigma
   1    0.788257490535759775E-01    0.308870883271524107E-03
   2    0.129139231359214159E+04    0.396039173774366375E+02
   3    0.116361376585651072E+00    0.763876330748662485E-01
   4    0.160884999999998513E+03    0.167369163272707416E-04
   5    0.551104999999997744E+05                         NaN
   6    0.441746861281635483E+00    0.396002286647479801E-01
   7    0.333379068573181114E+00    0.302991397720306713E-01
   8    0.551105056301379882E+05    0.414320379601492653E-02
   9    0.552713877718494623E+05                         NaN
  10    0.554322774290192683E+05    0.665926840673137458E-02
  11    0.555931546169208232E+05                         NaN
  12    0.557540457680544932E+05    0.548094343765714084E-02
  13    0.559149294148300469E+05                         NaN
  14    0.560758089934623422E+05    0.772040444377045717E-02
  15    0.562367018535981406E+05                         NaN
  16    0.563975776158774461E+05    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.786700896496282109E-01
   2    0.131735576487441949E+04
   3    0.807368388891011451E-01
   4    0.160884999999999991E+03
   5    0.551105000000000000E+05
   6    0.445247966643291138E+00
   7    0.332430638717653715E+00
   8    0.551105057772033178E+05
   9    0.552713879858907749E+05
  10    0.554322774769546231E+05
  11    0.555931548939449203E+05
  12    0.557540457079604603E+05
  13    0.559149295619565382E+05
  14    0.560758090004447367E+05
  15    0.562367020756288985E+05
  16    0.563975777163084349E+05

MAP Parameters
Dim No.        Parameter
   1    0.786700896496282109E-01
   2    0.131735576487441949E+04
   3    0.807368388891011451E-01
   4    0.160884999999999991E+03
   5    0.551105000000000000E+05
   6    0.445247966643291138E+00
   7    0.332430638717653715E+00
   8    0.551105057772033178E+05
   9    0.552713879858907749E+05
  10    0.554322774769546231E+05
  11    0.555931548939449203E+05
  12    0.557540457079604603E+05
  13    0.559149295619565382E+05
  14    0.560758090004447367E+05
  15    0.562367020756288985E+05
  16    0.563975777163084349E+05
