Global Evidence:    0.138591147420728539E+05  +/-    0.108561587074659530E+00

Dim No.       Mean        Sigma
   1    0.647221932832351826E-01    0.195480355743553064E-02
   2    0.384310140940768918E+03    0.983443801624939198E+02
   3    0.472437147779715516E+00    0.172279233492100309E+00
   4    0.240799000000002962E+03                         NaN
   5    0.551671000000000276E+05                         NaN
   6    0.639074667144305275E+00    0.211407941066245775E+00
   7    0.213964743599376617E+00    0.164902643591406523E+00
   8    0.551671425538591284E+05                         NaN
   9    0.554079459189591726E+05                         NaN
  10    0.556487217064128927E+05                         NaN
  11    0.558895463193783289E+05                         NaN
  12    0.561303385853120562E+05                         NaN
  13    0.563711347814177498E+05                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.638908230756413953E-01
   2    0.422612095819190984E+03
   3    0.439491670542774937E+00
   4    0.240799000000000007E+03
   5    0.551670999999999985E+05
   6    0.727998506654640165E+00
   7    0.174706451137958879E+00
   8    0.551671427660297850E+05
   9    0.554079462018257691E+05
  10    0.556487223708064994E+05
  11    0.558895463124474772E+05
  12    0.561303390588580951E+05
  13    0.563711353602663949E+05

MAP Parameters
Dim No.        Parameter
   1    0.638908230756413953E-01
   2    0.422612095819190984E+03
   3    0.439491670542774937E+00
   4    0.240799000000000007E+03
   5    0.551670999999999985E+05
   6    0.727998506654640165E+00
   7    0.174706451137958879E+00
   8    0.551671427660297850E+05
   9    0.554079462018257691E+05
  10    0.556487223708064994E+05
  11    0.558895463124474772E+05
  12    0.561303390588580951E+05
  13    0.563711353602663949E+05
