Global Evidence:    0.346036189817873355E+04  +/-    0.910976671462659093E-01

Dim No.       Mean        Sigma
   1    0.482844537953968367E+00    0.281681073953772176E+00
   2    0.298865521961789341E+03    0.212004531196463120E+03
   3    0.145455702133860809E+01    0.286969206276760813E+00
   4    0.127671999999999301E+03    0.111216581246286406E-04
   5    0.550600999999996129E+05    0.556726281786688437E-02
   6    0.573395819901527326E+00    0.281478882587000767E+00
   7    0.508491995430794597E+00    0.286852351894416657E+00
   8    0.550597425486246138E+05    0.651093341048212704E+00
   9    0.551877770461238906E+05    0.120002009057075271E-01
  10    0.553154210884476997E+05    0.471741350459548361E-01
  11    0.555707659956107382E+05    0.887006939676999485E-02
  12    0.556990803634693293E+05    0.298181969659517321E+00
  13    0.559538878135885825E+05    0.260304744829332815E-01
  14    0.560814292968536611E+05    0.257644135957830478E+00
  15    0.562091515744916469E+05    0.133899503914082889E-01
  16    0.563368278417619294E+05    0.134963622666848179E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.926700742989574944E+00
   2    0.275060244442546207E+03
   3    0.190812422275632132E+01
   4    0.127671999999999997E+03
   5    0.550600999999999985E+05
   6    0.383860741861839050E+00
   7    0.825528371982331768E-02
   8    0.550594529057520049E+05
   9    0.551877699725505227E+05
  10    0.553154208279617960E+05
  11    0.555707651802654291E+05
  12    0.556991454062721896E+05
  13    0.559538893964776144E+05
  14    0.560814588432897581E+05
  15    0.562091594057087568E+05
  16    0.563368227885593369E+05

MAP Parameters
Dim No.        Parameter
   1    0.926700742989574944E+00
   2    0.275060244442546207E+03
   3    0.190812422275632132E+01
   4    0.127671999999999997E+03
   5    0.550600999999999985E+05
   6    0.383860741861839050E+00
   7    0.825528371982331768E-02
   8    0.550594529057520049E+05
   9    0.551877699725505227E+05
  10    0.553154208279617960E+05
  11    0.555707651802654291E+05
  12    0.556991454062721896E+05
  13    0.559538893964776144E+05
  14    0.560814588432897581E+05
  15    0.562091594057087568E+05
  16    0.563368227885593369E+05
