Global Evidence:    0.277894211708417106E+04  +/-    0.219675521520297616E-01

Dim No.       Mean        Sigma
   1    0.325290136255420803E+00    0.227312488440382737E+00
   2    0.559296802982608278E+04    0.475827973627975371E+05
   3    0.165070996079357624E+01    0.255087180631766941E+00
   4    0.208047000000001191E+03                         NaN
   5    0.551549000000002270E+05                         NaN
   6    0.502345968684747679E+00    0.282083599635274518E+00
   7    0.504136406110347601E+00    0.280882332179852146E+00
   8    0.551549017848027579E+05    0.562190924608063969E+00
   9    0.553629376334344124E+05    0.566922498435348476E+00
  10    0.555709903925444669E+05    0.564269356033488045E+00
  11    0.557790350817704748E+05    0.559492761587274456E+00
  12    0.559870944069426259E+05    0.563721073195119993E+00
  13    0.561951301168284044E+05    0.559455260587147230E+00
  14    0.564031889783890001E+05    0.562916071976414134E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.682469260521007759E+00
   2    0.123629058905770806E+01
   3    0.167535828468989556E+01
   4    0.208046999999999997E+03
   5    0.551549000000000015E+05
   6    0.757050113390586255E+00
   7    0.850204574535221802E+00
   8    0.551552844664200384E+05
   9    0.553619723164053939E+05
  10    0.555709259090063788E+05
  11    0.557789526063888479E+05
  12    0.559872505954405060E+05
  13    0.561952642969069057E+05
  14    0.564036927098216693E+05

MAP Parameters
Dim No.        Parameter
   1    0.682469260521007759E+00
   2    0.123629058905770806E+01
   3    0.167535828468989556E+01
   4    0.208046999999999997E+03
   5    0.551549000000000015E+05
   6    0.757050113390586255E+00
   7    0.850204574535221802E+00
   8    0.551552844664200384E+05
   9    0.553619723164053939E+05
  10    0.555709259090063788E+05
  11    0.557789526063888479E+05
  12    0.559872505954405060E+05
  13    0.561952642969069057E+05
  14    0.564036927098216693E+05
